#{"t_start": 1762704241.0969076, "env_id": "None"}
r,l,t
867.6118,2000,4723.643199
694.71155,2000,4723.834919
2374.4028,2000,4806.237937
1046.1112,2000,4808.612325
874.9105,2000,4809.123585
1432.4001,2000,4809.123671
1059.9078,2000,4809.123686
2058.612,2000,4809.123696
952.41064,2000,4809.123706
995.4038,2000,4809.123716
2058.0,2000,4904.09768
1609.8103,1447,4904.993989
1346.8059,2000,4968.775667
909.6035,2000,4971.322622
724.00586,2000,4973.992397
1472.0076,2000,5052.178052
2002.1111,1549,5052.906072
751.61426,2000,5054.061525
711.10974,2000,5054.261188
2298.8083,1705,5055.056106
1838.1041,2000,5055.26928
1582.6038,2000,5137.256309
887.7069,2000,5137.256412
1059.3094,2000,5137.25643
1656.0122,2000,5137.256444
1574.0061,2000,5137.256457
2216.0002,1229,5219.044665
3330.0,1790,5219.89174
2111.7046,2000,5220.265299
2008.7074,2000,5221.132224
2475.0,1800,5292.262826
1414.6028,1233,5304.076016
1764.5009,1497,5304.661877
2184.0,1339,5376.540102
1959.2286,1363,5376.781041
876.6089,2000,5378.219401
2068.2185,1574,5378.974036
1638.2444,943,5379.190103
2221.503,2000,5379.351567
2195.9033,2000,5380.350827
2235.7825,2000,5380.613252
2041.9532,1506,5471.517699
4506.801,2000,5472.002106
1667.9076,2000,5472.002205
1775.669,1451,5472.227265
1215.496,767,5473.328645
2204.5034,2000,5564.240685
1653.1167,1695,5564.608922
2062.27,1294,5565.370035
1343.0476,999,5566.176028
1832.101,1140,5566.521136
2476.0967,2000,5567.086804
2681.4004,2000,5647.782544
2127.0017,1199,5647.82329
1579.9508,1003,5648.166031
1599.6631,1035,5650.201438
2254.8708,1603,5650.867814
1687.9636,1377,5729.417553
2247.395,2000,5730.675342
2482.3318,1981,5731.273761
2802.7002,1589,5731.60529
1574.3606,1027,5815.740119
2161.9062,2000,5816.109873
1607.1725,1325,5816.508298
3651.0,1531,5886.434788
2886.0,2000,5887.232868
2019.8083,2000,5887.516432
1515.4075,2000,5888.320767
1619.416,2000,5889.076627
1726.6118,2000,5889.978745
2030.304,1730,5969.030899
1355.6057,2000,5969.329963
1397.6104,2000,5972.343513
667.51746,2000,6037.61803
1449.6067,2000,6049.612654
2290.0037,2000,6050.247735
1034.0156,2000,6050.633885
1812.8005,1190,6123.082096
875.7113,2000,6124.04642
700.40967,2000,6124.415605
2440.0,1488,6124.675945
1230.7074,2000,6124.811888
1333.8091,2000,6207.167023
1458.4048,2000,6207.952956
3050.0,1627,6208.194307
1709.7076,2000,6209.012931
1432.833,1131,6209.594528
2055.4004,2000,6210.635712
983.30774,2000,6211.803556
1618.6721,993,6310.87362
1642.4026,1676,6312.177826
1526.0046,2000,6312.640502
1525.9052,2000,6314.338036
1783.9,1528,6389.070168
866.2117,2000,6389.473565
1823.606,1790,6392.178509
879.0083,2000,6392.752727
1055.0198,2000,6462.732447
2334.8,2000,6520.168111
1729.6086,2000,6521.056525
1507.0103,2000,6521.29833
2156.6045,1892,6521.606266
653.82007,2000,6533.876113
865.4126,2000,6535.43428
2620.3018,2000,6536.62692
1407.9844,1737,6537.25252
1681.0,1019,6630.796783
2187.964,1829,6630.796893
3719.4028,2000,6631.297093
1356.3717,1773,6634.51075
1763.4102,2000,6634.657538
2473.0002,2000,6710.149417
1776.4686,1727,6710.88556
879.9142,2000,6713.093315
1610.1252,1606,6782.977782
2032.404,1406,6794.790637
1758.5286,1657,6795.207911
2170.7065,2000,6797.478363
1575.2539,1131,6866.675262
1494.4138,2000,6867.131644
1994.0063,2000,6867.90462
1605.3011,1237,6870.257044
1903.3138,2000,6870.648895
2643.3997,2000,6871.216779
1943.5055,2000,6871.705214
1728.9098,2000,6871.705319
1481.5111,2000,6954.833442
1809.3109,2000,6957.870857
1998.4099,2000,7008.716776
1209.7454,761,7010.179222
1691.711,1881,7010.216517
1793.2957,1381,7018.387725
1996.2438,1053,7019.135985
1650.876,1497,7083.059782
2665.2004,2000,7083.119526
2268.7983,2000,7083.600111
2455.1035,2000,7083.948873
2128.0046,2000,7086.345201
2585.0,1156,7086.429441
1884.705,2000,7146.099686
2034.6421,1551,7146.108725
1633.1149,2000,7148.688169
2759.106,2000,7149.597209
1847.3055,2000,7150.02965
1186.3237,901,7203.687034
1614.0,961,7203.810515
1636.802,1463,7203.979941
1405.6394,1181,7211.714409
1626.3944,1745,7212.839267
3857.0,1923,7212.917165
1704.4573,1178,7271.232331
2002.0,1218,7271.81825
1740.5814,1295,7272.095962
2000.9098,2000,7272.338556
1345.7123,2000,7272.873641
1022.0149,2000,7332.096364
3133.6418,1809,7333.912757
2212.1,1468,7333.921167
2285.805,1618,7384.333718
3111.1006,1446,7384.350305
2042.5541,1663,7385.071801
2016.3777,1758,7393.481942
2331.2239,1622,7393.706163
1800.9,1036,7393.785847
1853.0651,1180,7394.092756
1806.2672,1578,7394.590933
1992.6042,2000,7459.863118
2691.3965,2000,7462.351862
1938.5765,987,7463.548742
2115.2107,1845,7512.608642
1418.0161,2000,7512.753895
2029.1672,1362,7513.010513
2073.309,2000,7513.39237
1644.8759,1194,7514.464163
3144.7021,1787,7514.511187
2131.9023,1183,7515.928271
2006.8864,1358,7579.061816
2918.2905,2000,7579.554466
2315.9246,1772,7579.827951
1704.5381,1376,7586.345403
1579.301,897,7587.541678
2159.105,1665,7645.515956
2796.0,1624,7646.462809
1972.3763,1171,7647.322538
1588.0526,1097,7647.336407
2006.0853,1966,7647.670733
2450.5244,1832,7707.100685
1566.4613,969,7707.783402
2009.7345,1282,7707.897299
2885.0,1552,7708.652002
1209.5742,719,7708.720417
2485.3757,1681,7709.595903
2615.9048,2000,7709.733968
2652.3794,2000,7772.594173
2023.6594,1125,7773.009581
1707.2175,1301,7773.804754
2412.37,1679,7781.826365
1645.9484,1212,7782.50141
1785.623,1397,7839.544165
2562.5303,1986,7839.699147
2624.0603,1884,7839.914502
2181.9426,1451,7839.982582
1607.2103,1049,7840.823963
1650.3145,1039,7841.544202
1574.3845,1055,7841.739978
1675.3368,927,7841.764397
1826.001,1235,7842.278148
1701.2927,1069,7842.784187
821.43677,453,7918.42779
2315.0,1161,7918.482516
1604.474,1013,7918.511695
1410.296,963,7919.440797
1618.8555,1347,7920.420216
1185.2704,637,7920.89759
2871.3027,1925,7980.860621
1187.4613,639,7980.987254
1716.0,941,7981.182766
2271.0,1284,7982.381194
1733.4498,1157,7982.473536
1216.2764,677,7990.340545
2029.361,1402,7991.291576
1629.6707,1386,7991.371764
2205.5605,1153,8057.477926
1582.5602,927,8060.209949
2415.703,1328,8060.713153
2451.4363,1695,8111.931863
2855.7136,1805,8112.602718
1867.3235,1192,8112.993823
2606.0,1481,8113.00173
1707.9052,1435,8113.558679
1734.7603,965,8115.386818
2053.7002,1271,8115.644345
2464.0308,1587,8115.865355
799.33014,495,8116.001431
1635.0074,1298,8185.394138
1981.4747,1177,8186.323366
1202.3724,653,8186.556606
2616.7725,1816,8187.009923
2256.463,1425,8194.022422
2644.0962,1893,8194.078018
1651.7429,945,8259.002023
2066.522,1247,8259.075785
3028.5999,2000,8259.286892
2556.0,1311,8260.106255
1869.9518,1242,8260.493417
1663.1786,954,8261.206807
1598.6617,1011,8261.421697
1610.0552,1016,8261.961668
1242.4183,723,8262.10975
1826.9008,1069,8329.777238
1879.0529,1166,8331.872046
2342.8828,1155,8333.501872
2517.105,2000,8382.268572
1658.7207,864,8382.387547
2022.7174,1037,8382.689254
2054.7336,1422,8383.70643
2037.4518,1268,8391.499333
1658.6626,1135,8391.50775
1966.2936,1074,8452.246028
1972.0907,1405,8452.259242
2047.7296,1067,8452.335601
1801.8828,1096,8452.958333
2386.9014,2000,8453.768729
2547.3374,1889,8453.920076
2045.9473,1457,8454.536526
1218.9663,715,8454.585054
1202.8152,757,8523.665278
2533.6953,2000,8525.400453
2461.952,1639,8525.49081
1714.7806,1139,8575.463172
2414.2952,1659,8575.9395
2606.0,1828,8578.343824
1208.5599,761,8578.44867
2175.1536,1365,8585.196245
2042.6401,1497,8585.585316
2444.6113,1556,8643.111925
2487.3367,1571,8643.32951
2156.4082,1418,8643.565734
2789.6016,2000,8643.672421
2460.5586,1951,8644.306262
1198.335,625,8704.006635
2777.0,1789,8704.015096
1240.4277,677,8704.065715
3134.891,1963,8704.754587
3341.7363,1968,8705.442465
2737.4424,1469,8706.025289
1986.2682,1357,8706.390164
1576.9135,851,8706.988151
